event_date,start_time,peak_time,end_time,goes_class,goes_location,noaa_active_region
2011-09-24,2011-09-24 19:09:00.000,2011-09-24 19:21:00.000,2011-09-24 19:41:00.000,M3.0,"(0, 0)",11302
2011-09-24,2011-09-24 20:29:00.000,2011-09-24 20:36:00.000,2011-09-24 20:42:00.000,M5.8,"(0, 0)",11302
2011-09-24,2011-09-24 21:23:00.000,2011-09-24 21:27:00.000,2011-09-24 21:32:00.000,M1.2,"(67, -29)",11303
2011-09-24,2011-09-24 23:45:00.000,2011-09-24 23:58:00.000,2011-09-25 00:09:00.000,M1.0,"(68, -29)",11303
2011-09-25,2011-09-25 02:27:00.000,2011-09-25 02:33:00.000,2011-09-25 02:37:00.000,M4.4,"(-49, 12)",11302
2011-09-25,2011-09-25 04:31:00.000,2011-09-25 04:50:00.000,2011-09-25 05:05:00.000,M7.4,"(-47, 11)",11302
2011-09-25,2011-09-25 08:46:00.000,2011-09-25 08:49:00.000,2011-09-25 08:52:00.000,M3.1,"(-45, 15)",11302
2011-09-25,2011-09-25 09:25:00.000,2011-09-25 09:35:00.000,2011-09-25 09:53:00.000,M1.5,"(0, 0)",11303
2011-09-25,2011-09-25 15:26:00.000,2011-09-25 15:33:00.000,2011-09-25 15:38:00.000,M3.7,"(-43, 16)",11302
2011-09-25,2011-09-25 16:51:00.000,2011-09-25 16:58:00.000,2011-09-25 17:09:00.000,M2.2,"(75, -28)",11303
2011-09-26,2011-09-26 05:06:00.000,2011-09-26 05:08:00.000,2011-09-26 05:13:00.000,M4.0,"(-34, 13)",11302
2011-09-26,2011-09-26 14:37:00.000,2011-09-26 14:46:00.000,2011-09-26 15:02:00.000,M2.6,"(-30, 14)",11302
2011-09-28,2011-09-28 13:24:00.000,2011-09-28 13:28:00.000,2011-09-28 13:30:00.000,M1.2,"(-3, 13)",11302
2011-09-30,2011-09-30 18:55:00.000,2011-09-30 19:06:00.000,2011-09-30 19:15:00.000,M1.0,"(-6, 8)",11305
2011-10-01,2011-10-01 08:56:00.000,2011-10-01 09:59:00.000,2011-10-01 10:17:00.000,M1.2,"(6, 10)",11305
2011-10-02,2011-10-02 00:37:00.000,2011-10-02 00:50:00.000,2011-10-02 00:59:00.000,M3.9,"(12, 9)",11305
2011-10-02,2011-10-02 17:19:00.000,2011-10-02 17:23:00.000,2011-10-02 17:26:00.000,M1.3,"(56, 9)",11302
2011-10-20,2011-10-20 03:10:00.000,2011-10-20 03:25:00.000,2011-10-20 03:44:00.000,M1.6,"(0, 0)",0
2011-10-21,2011-10-21 12:53:00.000,2011-10-21 13:00:00.000,2011-10-21 13:08:00.000,M1.3,"(0, 0)",11319
2011-10-22,2011-10-22 10:00:00.000,2011-10-22 11:10:00.000,2011-10-22 13:09:00.000,M1.3,"(77, 25)",11314
2011-10-31,2011-10-31 14:55:00.000,2011-10-31 15:08:00.000,2011-10-31 15:27:00.000,M1.1,"(0, 0)",0
2011-10-31,2011-10-31 17:21:00.000,2011-10-31 18:08:00.000,2011-10-31 18:50:00.000,M1.4,"(0, 0)",0
2011-11-02,2011-11-02 21:52:00.000,2011-11-02 22:01:00.000,2011-11-02 22:19:00.000,M4.3,"(0, 0)",11339
2011-11-03,2011-11-03 10:58:00.000,2011-11-03 11:11:00.000,2011-11-03 11:20:00.000,M2.5,"(0, 0)",11339
2011-11-03,2011-11-03 20:16:00.000,2011-11-03 20:27:00.000,2011-11-03 20:32:00.000,X1.9,"(-63, 22)",11339
2011-11-03,2011-11-03 23:28:00.000,2011-11-03 23:36:00.000,2011-11-03 23:44:00.000,M2.1,"(-61, 19)",11339
2011-11-04,2011-11-04 20:31:00.000,2011-11-04 20:40:00.000,2011-11-04 20:46:00.000,M1.0,"(0, 0)",11339
2011-11-05,2011-11-05 03:08:00.000,2011-11-05 03:35:00.000,2011-11-05 03:58:00.000,M3.7,"(-45, 20)",11339
2011-11-05,2011-11-05 11:10:00.000,2011-11-05 11:21:00.000,2011-11-05 11:42:00.000,M1.1,"(0, 0)",11339
2011-11-05,2011-11-05 20:31:00.000,2011-11-05 20:38:00.000,2011-11-05 20:54:00.000,M1.8,"(-34, 21)",11339
2011-11-06,2011-11-06 00:46:00.000,2011-11-06 01:03:00.000,2011-11-06 01:24:00.000,M1.2,"(-35, 21)",11339
2011-11-06,2011-11-06 06:14:00.000,2011-11-06 06:35:00.000,2011-11-06 06:41:00.000,M1.4,"(-31, 21)",11339
